,index,genre,title,url,artist,weekly_views,all_views,artist_url
58,9,Dancehall,Popcaan - Everything Nice (Produced by Dubbel Dutch),https://soundcloud.com/mixpak/everything-nice,Mixpak,2043.0,7341899.0,https://soundcloud.com/mixpak
59,10,Dancehall,Badman,https://soundcloud.com/skillibeng/badman,Skillibeng,2038.0,79542.0,https://soundcloud.com/skillibeng
60,1,Deep House,Summer Special Super Mix 2021 - Best Of Deep House Sessions Music 2021 Chill Out Mix by Drop G,https://soundcloud.com/djdropg/summer-special-super-mix-2018-best-of-deep-house-sessions-music-2018-chill-out-mix-by-drop-g,ᴰᴶ Drop G,5747.0,13721756.0,https://soundcloud.com/djdropg
61,2,Deep House,Jay Sean - Ride It (Regard Remix),https://soundcloud.com/dj-regard-1/jay-sean-ride-it-regard-remix,Regard,4594.0,14200851.0,https://soundcloud.com/dj-regard-1
62,3,Deep House,DEEP HOUSE SUMMER MIX 2 - AHMET KILIC,https://soundcloud.com/ahmet-kilic/deep-house-summer-mix-2014-1,Ahmet Kilic,2847.0,22915832.0,https://soundcloud.com/ahmet-kilic
63,4,Deep House,Summer Mix | Best Of Kygo Mix 2021 | Best Of Tropical Deep House Music Chill Out 2021,https://soundcloud.com/shinemusic/summer-mix-best-of-kygo-mix-2017-best-of-tropical-deep-house-music-chill-out-2017,ShineMusic,2521.0,4726720.0,https://soundcloud.com/shinemusic
64,5,Deep House,The Anjunadeep Edition 345 with James Grant,https://soundcloud.com/anjunadeep/the-anjunadeep-edition-345,Anjunadeep,2334.0,16389.0,https://soundcloud.com/anjunadeep
65,6,Deep House,Matt Simons - Catch & Release (Deepend Remix) - [OUT NOW!!],https://soundcloud.com/deependmusic/matt-simons-catch-release-deepend-remix-out-now,Deepend,2264.0,44634897.0,https://soundcloud.com/deependmusic
66,7,Deep House,Creep (feat. Ember Island),https://soundcloud.com/gamperdadoni/creep-feat-ember-island,GAMPER & DADONI,1633.0,5632956.0,https://soundcloud.com/gamperdadoni
67,8,Deep House,Robin Schulz - Sugar (EDX's Ibiza Sunrise Remix),https://soundcloud.com/edxmusic/robin-schulz-sugar-edx-ibiza-sunrise-remix,EDX,1621.0,17169841.0,https://soundcloud.com/edxmusic
68,9,Deep House,Deep & Sexy Podcast #46 (Kissing),https://soundcloud.com/alexcruz/deep-sexy-podcast-46-kissing,Alex Cruz,1545.0,23565.0,https://soundcloud.com/alexcruz
69,10,Deep House,MÖWE - Birds Flying High (FREE Download),https://soundcloud.com/m-we-1/mowe-birds-flying-high,MÖWE,1381.0,17536455.0,https://soundcloud.com/m-we-1
70,1,Disco,The Ultimate 80's Mix,https://soundcloud.com/pokert/the-ultimate-80s-mix,PokerT,753.0,2261264.0,https://soundcloud.com/pokert
71,2,Disco,Estilo Disco: 70s Disco Megamix Boite Discotheque,https://soundcloud.com/mix80s/estilo-disco-70s-disco-megamix-boite-discotheque-the-classic-project-vol-12,Mix80s,649.0,4888702.0,https://soundcloud.com/mix80s
72,3,Disco,Poolside,https://soundcloud.com/daniel-steinberg/poolside,Daniel Steinberg,450.0,11481.0,https://soundcloud.com/daniel-steinberg
73,4,Disco,datfootdive  - ”ｓｔａｙ”,https://soundcloud.com/futuresocietycollective/stay,Future Society,391.0,1397779.0,https://soundcloud.com/futuresocietycollective
74,5,Disco,70'S & 80'S DISCO & FUNK DANCE MIX - 70'S & 80'S DISCO & FUNK DANCE MIX - SPRING 2014.mp3,https://soundcloud.com/gilles-dumontet/70s-80s-disco-funk-dance-mix,Gilles Dumontet,309.0,698249.0,https://soundcloud.com/gilles-dumontet
75,6,Disco,Aritus - Keep,https://soundcloud.com/aritusmusic/aritus-keep-1,Aritus 🌸,262.0,1095346.0,https://soundcloud.com/aritusmusic
76,7,Disco,"Hot Stuff (12"" Version)",https://soundcloud.com/donna-summer-official/hot-stuff-3,Donna Summer,262.0,267259.0,https://soundcloud.com/donna-summer-official
77,8,Disco,Poolside - Contact High Mixtape,https://soundcloud.com/poolside/contact-high-mixtape,Poolside,253.0,836171.0,https://soundcloud.com/poolside
78,9,Disco,Glitterbox Radio Show 205: Purple Disco Machine Takeover,https://soundcloud.com/glitterboxibiza/glitterbox-radio-show-205-presented-by-purple-disco-machine,Glitterbox,173.0,32681.0,https://soundcloud.com/glitterboxibiza
79,10,Disco,"I Feel Love (12"" Version)",https://soundcloud.com/donna-summer-official/i-feel-love-3,Donna Summer,171.0,44423.0,https://soundcloud.com/donna-summer-official
80,1,Drum & Bass,Cartoon - Why We Lose (feat. Coleman Trapp) [NCS Release],https://soundcloud.com/nocopyrightsounds/cartoon-why-we-lose-feat-coleman-trapp-ncs-release,NCS,5246.0,21825866.0,https://soundcloud.com/nocopyrightsounds
81,2,Drum & Bass,Mr. Kill Myself,https://soundcloud.com/sewerslvt/mr-kill-myself,Sewerslvt,1768.0,416541.0,https://soundcloud.com/sewerslvt
82,3,Drum & Bass,Feint - We Won't Be Alone (feat. Laura Brehm),https://soundcloud.com/monstercat/feint-we-wont-be-alone,Monstercat,1394.0,6628607.0,https://soundcloud.com/monstercat
83,4,Drum & Bass,Aftershock,https://soundcloud.com/mackygee/aftershock-1,Macky Gee,1147.0,2846370.0,https://soundcloud.com/mackygee
84,5,Drum & Bass,Feint - Snake Eyes (feat. CoMa),https://soundcloud.com/monstercat/feint-snake-eyes-feat-coma,Monstercat,1095.0,6701300.0,https://soundcloud.com/monstercat
